Network;Citation
COSMOS;Zreda M., Desilets D., Ferré Ty P.A., Scott R.L., “Measuring soil moisture content non-invasively at intermediate spatial scale using cosmic-ray neutrons”, Geophysical Research Letters 35(21), 2008  
COSMOS;Zreda, M., W.J. Shuttleworth, X. Zeng, C. Zweck, D. Desilets, T. Franz, and R. Rosolem, 2012. COSMOS: the COsmic-ray Soil Moisture Observing System. Hydrology and Earth System Sciences 16, 4079-4099, doi: 10.5194/hess-16-4079-2012.
CTP_SMTMN;Yang, K., J. Qin, L. Zhao, Y. Y. Chen, W. J. Tang, M. L. Han, Lazhu, Z. Q. Chen, N. Lv, B. H. Ding, H. Wu, C. G. Lin, 2013. A Multi-Scale Soil Moisture and Freeze-Thaw Monitoring Network on the Third Pole, Bulletin of the American Meteorological Society, doi: 10.1175/BAMS-D-12-00203.1
DAHRA;Tagesson, T., Fensholt, R., Guiro, I., Rasmussen, M., Huber, S., Mbow, C., Garcia, M., Horion, S., Sandholt, I., Holm-Rasmussen, B., Goettsche, F.-M., Ridler, M., Boke-Ol´en, N., Olsen, J., Ehammer, A., Madsen, M., Olesen, F. & Ardoe, J. (2014), ‘Ecosystem properties of semi-arid savanna grassland in west africa and its relationship to environmental variability’, Global Change Biology 21.
FLUXNET-AMERIFLUX;We acknowledge the work of Dennis D. Baldocchi (http://ameriflux.lbl.gov/) in support of the ISMN.
FMI;Ikonen, J., Smolander, T., Rautiainen, K., Cohen, J., Lemmetyinen, J., Salminen, M. & Pulliainen, J. (2018), ‘Spatially distributed evaluation of esa cci soil moisture products in a northern boreal forest environment’, Geosciences 8(2), 51.
FMI;Ikonen, J., Vehvilaeinen, J., Rautiainen, K., Smolander, T., Lemmetyinen, J., Bircher, S. & Pulliainen, J. (2015), ‘The sodankylae in-situ soil moisture observation network: an example application to earth observation data product evaluation’, GID 5(2), 599–629.
FR_Aqui;Al-Yaari, A., Dayau, S., Chipeaux, C., Aluome, C., Kruszewski, A., Loustau, D. & Wigneron, J.-P. (2018), ‘The aqui soil moisture network for satellite microwave remote sensing validation in south-western france’, Remote Sensing 10(11).
FR_Aqui;Wigneron, J.-P., Dayan, S., Kruszewski, A., Aluome, C., Al-Yaari, A., Fan, L., Guven, S., Chipeaux, C., Moisy, C., Guyon, D. & Loustau, D. (2018), The aqui network: Soil moisture sites in the “les landes” forest and graves vineyards (bordeaux aquitaine region, france), pp. 3739–3742.
GROW;Xaver, A., Zappa, L., Rab, G., Pfeil, I., Vreugdenhil, M., Hemment, D. & Dorigo, W. A. (2020), ‘Evaluating the suitability of the consumer low-cost parrot flower power soil moisture sensor for scientific environmental applications’, Geoscientific Instrumentation, Methods and Data Systems 9(1), 117–139.
GROW;Zappa, L., Forkel, M., Xaver, A. & Dorigo, W. (2019), ‘Deriving field scale soil moisture from satellite observations and ground measurements in a hilly agricultural region’, Remote Sensing 11(22), 2596.
GROW;Zappa, L., Woods, M., Hemment, D., Xaver, A. & Dorigo, W. (2020), Evaluation of remotely sensed soil moisture products using crowdsourced measurements, Eighth International Conference on Remote Sensing and Geoinformation of Environment, SPIE, Cyprus.
GTK;We acknowledge the work of Pekka Haenninen, Raimo Sutinen in support of the ISMN.
HiWATER_EHWSN;Jian Kang, Xin Li, Rui Jin, Yong Ge, Jinfeng Wang and Jianghao Wang. Hybrid optimal design of the eco-hydrological wireless sensor network in the middle reach of the Heihe River Basin, China, Sensors, 2014, 14(10): 19095~19114
HiWATER_EHWSN;Rui Jin, Xin Li, Baoping Yan, Xiuhong Li, Wanmin Luo, Mingguo Ma, Jianwen Guo, Jian Kang, Zhongli Zhu and Shaojie Zhao. A nested ecohydrological wireless sensor network for capturing the surface heterogeneity in the midstream areas of the Heihe River Basin, China, IEEE Geoscience and Remote Sensing Letters, 2014, 11(11): 2015~2019
HOAL;Bloeschl, Guenter, et al. 'The hydrological open air laboratory (HOAL) in Petzenkirchen: A hypothesis-driven observatory.' Hydrology and Earth System Sciences 20.1 (2016): 227-255.
HOAL;M. Vreugdenhil et al., 'Towards a high-density soil moisture network for the validation of SMAP in Petzenkirchen, Austria', 2013 IEEE International Geoscience and Remote Sensing Symposium - IGARSS, Melbourne, VIC, 2013, pp. 1865-1868, doi: 10.1109/IGARSS.2013.6723166.
HOBE;Jensen, K. & Refsgaard, J. (2018), ‘Hobe: The danish hydrological observatory’, Vadose Zone Journal 17.
HOBE;Bircher, S., Skou, N., Jensen, K., Walker, J. & Rasmussen, L. (2012), ‘A soil moisture and temperature network for smos validation in western denmark’, Hydrology and Earth System Sciences 16.
HSC_SEOLMACHEON;We acknowledge the work of Yeon gil Lee / Minha Choi in support of the ISMN.
HYDROL-NET_PERUGIA;Morbidelli, R., Saltalippi, C., Flammini, A., Cifrodelli, M., Picciafuoco, T., Corradini, C. & Govindaraju, R. S. (2017), ‘In situ measurements of soil saturated hydraulic conductivity: Assessment of reliability through rainfall–runoff experiments’, Hydrological Processes 31(17), 3084–3094.
HYDROL-NET_PERUGIA;FLAMMINI A., MORBIDELLI R., SALTALIPPI C., PICCIAFUOCO T., CORRADINI C., GOVINDARAJU R.S. 'Reassessment of a semi-analytical field-scale infiltration model through experiments under natural rainfall events', Journal of Hydrology, 565, 835-845, 2018, https://doi.org/10.1016/j.jhydrol.2018.08.073, Codice Scopus: 2-s2.0-85053026749, Codice WOS: 000447477200069.
HYDROL-NET_PERUGIA;FLAMMINI A., CORRADINI C., MORBIDELLI R., SALTALIPPI C., PICCIAFUOCO T., GIRALDEZ J.V. 'Experimental Analyses of the Evaporation Dynamics in Bare Soils under Natural Conditions', Water Resources Management, 32 (3), 1153-1166, 2018, doi: 10.1007/s11269-017-1860-x, Codice Scopus: 2-s2.0-85034632795, Codice WOS: 000422982300020.
HYDROL-NET_PERUGIA;MORBIDELLI R., SALTALIPPI C., FLAMMINI A., ROSSI E., CORRADINI C., 'Soil water content vertical profiles under natural conditions: matching of experiments and simulations by a conceptual model', Hydrological Processes, 28 (17), 4732-4742, 2014, doi:10.1002/hyp.9973, Codice Scopus: 2-s2.0-84905732846, Codice WOS: 000340611500006.
HYDROL-NET_PERUGIA;MORBIDELLI R., CORRADINI C., SALTALIPPI C., FLAMMINI A., ROSSI E., 'Infiltration-soil moisture redistribution under natural conditions: experimental evidence as a guideline for realizing simulation models', Hydrology and Earth System Sciences, 15, 2937-3945, 2011, doi:10.5194/hess-15-2937-2011, Codice Scopus: 2-s2.0-80052885350, Codice WOS: 000295357100012
ICN;Hollinger, Steven E., and Scott A. Isard, 1994: A soil moisture climatology of Illinois. J. Climate, 7, 822-833.
IIT_KANPUR;We acknowledge the work of Tripathi Shivam in support of the ISMN.
IMA_CAN1;Marcella Biddoccu, Stefano Ferraris, Francesca Opsi, Eugenio Cavallo. Long-term monitoring of soil management effects on runoff and soil erosion in sloping vineyards in Alto Monferrato (North–West Italy). Soil and Tillage Research, Volume 155, 2016, Pages 176-189, ISSN 0167-1987, https://doi.org/10.1016/j.still.2015.07.005. (http://www.sciencedirect.com/science/article/pii/S0167198715001531)
IMA_CAN1;Capello, G., Biddoccu, M., Ferraris, S. & Cavallo, E. (2019), ‘Effects of tractor passes on hydrological and soil erosion processes in tilled and grassed vineyards’, Water 11(10), 2118.
IMA_CAN1;Raffelli, G., Id, M., Previati, M., Id, D., Canone, D., Gisolo, D., Bevilacqua, I., Capello, G., Biddoccu, M., Cavallo, E., Id, R., Deiana, R., Id, G., Cassiani, G. & Ferraris, S. (2018), ‘Local-and plot-scale measurements of soil moisture: Time and spatially resolved field techniques in plain, hill and mountain sites’, Water 9.
IOWA;Robock, Alan, Konstantin Y. Vinnikov, Govindarajalu Srinivasan, Jared K. Entin, Steven E. Hollinger, Nina A. Speranskaya, Suxia Liu, and A. Namkhai, 2000: The Global Soil Moisture Data Bank. Bull. Amer. Meteorol. Soc., 81, 1281-1299
IPE;Alday, J. G., Camarero, J. J., Revilla, J. & Dios, V. R. (2020), ‘Similar diurnal, seasonal and annual rhythms in radial root expansion across two coexisting mediterranean oak species’, Tree Physiology.
iRON;Osenga, E. C., Arnott, J. C., Endsley, K. A., & Katzenberger, J. W. (2019). Bioclimatic and soil moisture monitoring across elevation in a mountain watershed: Opportunities for research and resource management. Water Resources Research, 55. https://doi.org/10.1029/2018WR023653
KIHS_CMC;We acknowledge the work of Yeon gil Lee, Yongjun Lee, Kiyoung Kim (http://kihs.re.kr) in support of the ISMN.
KIHS_SMC;We acknowledge the work of  Minha Choi, Yeon gil Lee (http://kihs.re.kr) in support of the ISMN.
LAB-net;Mattar, C., Santamaria-Artigas, A., Duran-Alarcon, C., Olivera-Guerra, L., Fuster, R. & Borvar´an, D. (2016), ‘The lab-net soil moisture network: Application to thermal remote sensing and surface energy balance’, Data 1(1).
LAB-net	;Mattar, C., Santamaría-Artigas, A., Durán-Alarcón, C., Olivera-Guerra, L and Fuster, R. 2014. LAB-net the First Chilean soil moisture network for Remote Sensing Applications. Procd. IV Recent Advances in Quantitative Remote Sensing Symposium (RAQRS). 22 - 25 September, Valencia, Spain.
MAQU;Su, Z., Wen, J., Dente, L., van der Velde, R., Wang, L., Ma, Y., Yang, K., and Hu, Z. 2011, The Tibetan Plateau observatory of plateau scale soil moisture and soil temperature (Tibet-Obs) for quantifying uncertainties in coarse resolution satellite and model products, Hydrol. Earth Syst. Sci., 15, 2303–2316, 2011
MAQU;Dente, L., Su, Z. & Wen, J. (2012), ‘Validation of smos soil moisture products over the maqu and twente regions’, Sensors 12(8), 9965–9986.
METEROBS;We acknowledge the work of Nazzareno Diodato (http://mistrals.sedoo.fr/HyMeX/Plateform-search?datsId=532) in support of the ISMN.
MOL-RAO;F.Beyrich and W.K. Adam, Site and Data Report for the Lindenberg Reference Site in CEOP - Phase 1, Berichte des Deutschen Wetterdienstes, 230, Offenbach am Main, 2007, http://www.eol.ucar.edu/projects/ceop/dm/insitu/sites/baltex/lindenberg/falkenberg/
MONGOLIA;Robock, Alan, Konstantin Y. Vinnikov, Govindarajalu Srinivasan, Jared K. Entin, Steven E. Hollinger, Nina A. Speranskaya, Suxia Liu, and A. Namkhai, 2000: The Global Soil Moisture Data Bank. Bull. Amer. Meteorol. Soc., 81, 1281-1299
MySMNet;Kang, C. S., Kanniah, K. D. & Kerr, Y. H. (2019), ‘Calibration of smos soil moisture retrieval algorithm: A case of tropical site in malaysia’, IEEE Transactions on Geoscience and Remote Sensing 57(6), 3827–3839.
NAQU;Su, Z., Wen, J., Dente, L., Van Der Velde, R., Wang, L., Ma, Y., Yang, K. and Hu, Z., 2011. The Tibetan Plateau observatory of plateau scale soil moisture and soil temperature (Tibet-Obs) for quantifying uncertainties in coarse resolution satellite and model products. Hydrology & Earth System Sciences, 15(7).
NGARI;Su, Z., Wen, J., Dente, L., Van Der Velde, R., Wang, L., Ma, Y., Yang, K. and Hu, Z., 2011. The Tibetan Plateau observatory of plateau scale soil moisture and soil temperature (Tibet-Obs) for quantifying uncertainties in coarse resolution satellite and model products. Hydrology & Earth System Sciences, 15(7).
NVE;We acknowledge the work of Fred Wenger (https://www.nve.no/hydrology/?ref=mainmenu) in support of the ISMN.
OZNET;Smith, A. B., J. P.Walker, A. W.Western, R. I.Young, K. M.Ellett, R. C.Pipunic, R. B.Grayson, L.Siriwardena, F. H. S.Chiew, and H.Richter (2012), The Murrumbidgee soil moisture monitoring network data set, Water Resour. Res., 48, W07701, doi:10.1029/2012WR011976.
OZNET;Young, R., Walker, J., Yeoh, N., Smith, A., Ellett, K., Merlin, O. and Western, A., 2008. Soil moisture and meteorological observations from the murrumbidgee catchment. Department of Civil and Environmental Engineering, The University of Melbourne.
PBO_H2O;Kristine M. Larson, Eric E. Small, Ethan D. Gutmann, Andria L. Bilich, John J. Braun, Valery U. Zavorotny: Use of GPS receivers as a soil moisture network for water cycle studies. GEOPHYSICAL RESEARCH LETTERS, VOL. 35, L24405, doi:10.1029/2008GL036013, 2008.
PTSMN;Hajdu, I., Yule, I., Bretherton, M., Singh, R. & Hedley, C. (2019), ‘Field performance assessment and calibration of multi-depth aquacheck capacitance-based soil moisture probes under permanent pasture for hill country soils’, Agricultural Water Management 217, 332–345. https://doi.org/10.1016/J.AGWAT.2019.03.002
REMEDHUS;Gonzalez-Zamora, A., Sanchez, N., Pablos, M. & Martinez-Fernandez, J. (2018), ‘Cci soil moisture assessment with smos soil moisture and in situ data under different environmental conditions and spatial scales in spain’, Remote Sensing of Environment 225.
RISMA;Ojo, E. R., Bullock, P. R., L’Heureux, J., Powers, J., McNairn, H., & Pacheco, A. (2015). Calibration and evaluation of a frequency domain reflectometry sensor for real-time soil moisture monitoring. Vadose Zone Journal, 14(3). doi: 10.2136/vzj2014.08.0114
RISMA;L’Heureux, J. (2011). 2011 Installation Report for AAFC SAGES Soil Moisture Stations in Kenaston, SK. Agriculture
RISMA;Canisius, F. (2011). Calibration of Casselman, Ontario Soil Moisture Monitoring Network, Agriculture and AgriFood Canada, Ottawa, ON, 37pp
RU_CFR;We acknowledge the work of Andrej Varlagin in support of the ISMN.
RUSWET-AGRO;Robock, Alan, Konstantin Y. Vinnikov, Govindarajalu Srinivasan, Jared K. Entin, Steven E. Hollinger, Nina A. Speranskaya, Suxia Liu, and A. Namkhai, 2000: The Global Soil Moisture Data Bank. Bull. Amer. Meteorol. Soc., 81, 1281-1299
RUSWET-GRASS;Robock, Alan, Konstantin Y. Vinnikov, Govindarajalu Srinivasan, Jared K. Entin, Steven E. Hollinger, Nina A. Speranskaya, Suxia Liu, and A. Namkhai, 2000: The Global Soil Moisture Data Bank. Bull. Amer. Meteorol. Soc., 81, 1281-1299
RUSWET-VALDAI;Robock, Alan, Konstantin Y. Vinnikov, Govindarajalu Srinivasan, Jared K. Entin, Steven E. Hollinger, Nina A. Speranskaya, Suxia Liu, and A. Namkhai, 2000: The Global Soil Moisture Data Bank. Bull. Amer. Meteorol. Soc., 81, 1281-1299
SASMAS;Ruediger, C, Hancock, G. R., Hemakumara, H. M., Jacobs, B., Kalma, J. D., Martinez, C., Thyer, M., Walker, J. P., Wells, T. and Willgoose, G. R., 2007. The Goulburn River Experimental Catchment Data Set. Water Resources Research, 43, W10403, doi:10.1029/2006WR005837
SCAN;Schaefer, G., Cosh, M. & Jackson, T. (2007), ‘The usda natural resources conservation service soil climate analysis network (scan)’, Journal of Atmospheric and Oceanic Technology - J ATMOS OCEAN TECHNOL 24.
SD_DEM;Jonas Ardoe, A 10-Year Dataset of Basic Meteorology and Soil Properties in Central Sudan, Dataset Papers in Geosciences, vol. 2013, Article ID 297973, 6 pages, 2013
SKKU;Nguyen, H. H., Kim, H. & Choi, M. (2017), ‘Evaluation of the soil water content using cosmic-ray neutron probe in a heterogeneous monsoon climate-dominated region’, Advances in Water Resources 108, 125–138.
SMOSMANIA;Calvet, J.-C., Fritz, N., Berne, C., Piguet, B., Maurel, W. & Meurey, C. (2016), ‘Deriving pedotransfer functions for soil quartz fraction in southern france from reverse modeling’, SOIL 2(4), 615–629.
SMOSMANIA;Calvet, J.-C., Fritz, N., Froissard, F., Suquia, D., Petitpa, A., and Piguet, B.: In situ soil moisture observations for the CAL/VAL of SMOS: the SMOSMANIA network, International Geoscience and Remote Sensing Symposium, IGARSS, Barcelona, Spain, 23-28 July 2007, 1196-1199, doi:10.1109/IGARSS.2007.4423019, 2007.
SMOSMANIA;Albergel, C., Ruediger, C., Pellarin, T., Calvet, J.-C., Fritz, N., Froissard, F., Suquia, D., Petitpa, A., Piguet, B., and Martin, E.: From near-surface to root-zone soil moisture using an exponential filter: an assessment of the method based on insitu observations and model simulations, Hydrol. Earth Syst. Sci., 12, 1323–1337, 2008.
SNOTEL;Leavesley et al (2010), ‘A modelling framework for improved agricultural water-supply forecasting’.
SNOTEL;Leavesley, G., David, O., Garen, D., Lea, J., Marron, J., Pagano, T., Perkins, T. & Strobel, M. (2008), ‘A modeling framework for improved agricultural water supply forecasting’, AGU Fall Meeting Abstracts
SOILSCAPE;Moghaddam, M., D. Entekhabi, Y. Goykhman, K. Li, M. Liu, A. Mahajan, A. Nayyar, D. Shuman, and D. Teneketzis, A wireless soil moisture smart sensor web using physics-based optimal control: concept and initial demonstration IEEE-JSTARS, , vol. 3, no. 4, pp. 522-535, December 2010
SOILSCAPE;Moghaddam, M., A.R. Silva, D. Clewley, R. Akbar, S.A. Hussaini, J. Whitcomb, R. Devarakonda, R. Shrestha, R.B. Cook, G. Prakash, S.K. Santhana Vannan, and A.G. Boyer. 2016. Soil Moisture Profiles and Temperature Data from SoilSCAPE Sites, USA. ORNL DAAC, Oak Ridge, Tennessee, USA. http://dx.doi.org/10.3334/ORNLDAAC/1339
SOILSCAPE;Shuman, D. I., Nayyar, A., Mahajan, A., Goykhman, Y., Li, K., Liu, M., Teneketzis, D., Moghaddam, M. & Entekhabi, D. (2010), ‘Measurement scheduling for soil moisture sensing: From physical models to optimal control’, Proceedings of the IEEE 98(11), 1918–1933.
SWEX_POLAND;W. Marczewski, J. Slominski, E. Slominska, B. Usowicz, J. Usowicz, S. Romanov, O. Maryskevych, J. Nastula, and J. Zawadzki, 2010: Strategies for validating and directions for employing SMOS data, in the Cal-Val project SWEX (3275) for wetlands, Hydrol. Earth Syst. Sci. Discuss., 7, 7007–7057
SW-WHU;Chen, N., Zhang,X., Wang, C.,2015. Integrated Open Geospatial Web Service enabled Cyber-physical Information Infrastructure for Precision Agriculture Monitoring. Computers and Electronics in Agriculture.111,78–91. doi:10.1016/j.compag.2014.12.009
SW-WHU;Chen, N., Xiao, C., Pu, F., Wang, Z., Wang, C., Gong, J. 2015. Cyber-Physical Geographical Information Service-Enabled Control of Diverse In-situ Sensors. Sensors. 15(2), 2565-2592. doi: 10.3390/s150202565
SW-WHU;Zhang, X., Chen, N., Chen, Z., Wu, L., Li, X., Zhang, L., Di, L., Gong, J. & Li, D. (2018), ‘Geospatial sensor web: A cyber-physical infrastructure for geoscience research and application’, Earth-science reviews 185, 684–703.
TAHMO;We acknowledge the work of Nicolaas Cornelis van de Giesen and Frank Annor (https://tahmo.org/) in support of the ISMN.
TERENO;Zacharias, S., H.R. Bogena, L. Samaniego, M. Mauder, R. Fuß, T. Puetz, M. Frenzel, M. Schwank, C. Baessler, K. Butterbach-Bahl, O. Bens, E. Borg, A. Brauer, P. Dietrich, I. Hajnsek, G. Helle, R. Kiese, H. Kunstmann, S. Klotz, J.C. Munch, H. Papen, E. Priesack, H. P. Schmid, R. Steinbrecher, U. Rosenbaum, G. Teutsch, H. Vereecken. 2011. A Network of Terrestrial Environmental Observatories in Germany. Vadose Zone J. 10. 955–973. doi:10.2136/vzj2010.0139
TERENO;Bogena, H., Kunkel, R., Puetz, T., Vereecken, H., Kruger, E., Zacharias, S., Dietrich, P., Wollschlaeger, U., Kunstmann, H., Papen, H., Schmid, H., Munch, J., Priesack, E., Schwank, M., Bens, O., Brauer, A., Borg, E. & Hajnsek, I. (2012), ‘Tereno - long-term monitoring network for terrestrial environmental research’, Hydrologie und Wasserbewirtschaftung 56, 138–143.
TERENO;Bogena, H. R. (2016), ‘Tereno: German network of terrestrial environmental observatories’, Journal of large-scale research facilities JLSRF 2, 52.
UDC_SMOS;Schlenz, F., Dall'Amico, J., Loew, A., Mauser, W. (2012): Uncertainty Assessment of the SMOS Validation in the Upper Danube Catchment. IEEE Transactions on Geoscience and Remote Sensing, 50(5), pp.1517–1529. doi: 10.1109/TGRS.2011.2171694. 
UDC_SMOS;A. Loew, J. T. Dall'Amico, F. Schlenz, W. Mauser (2009): The Upper Danube soil moisture validation site: measurements and activities, paper presented at Earth Observation and Water Cycle conference, Frascati (Rome), 18 - 20 November 2009, to be published in ESA Special dataation SP-674.
UMBRIA;Brocca, L., Hasenauer, S., Lacava, T., Melone, F., Moramarco, T., Wagner, W., Dorigo, W., Matgen, P., Martínez-Fernández, J., Llorens, P., Latron, J., Martin, C., Bittelli, M. (2011). Soil moisture estimation through ASCAT and AMSR-E sensors: an intercomparison and validation study across Europe. Remote Sensing of Environment, 115, 3390-3408, doi:10.1016/j.rse.2011.08.003.
UMBRIA;Brocca, L., Melone, F., Moramarco, T. (2008). On the estimation of antecedent wetness condition in rainfall-runoff modelling. Hydrological Processes, 22 (5), 629-642.
UMBRIA;Brocca, L., Melone, F., Moramarco, T., Morbidelli, R. (2009). Antecedent wetness conditions based on ERS scatterometer data. Journal of Hydrology, 364 (1-2), 73-87.
UMSOL;We acknowledge the work of Andrea Pasquali (http://www.arpa.emr.it/sim/) in support of the ISMN.
USCRN;Bell, J. E., M. A. Palecki, C. B. Baker, W. G. Collins, J. H. Lawrimore, R. D. Leeper, M. E. Hall, J. Kochendorfer, T. P. Meyers, T. Wilson, and H. J. Diamond. 2013: U.S. Climate Reference Network soil moisture and temperature observations. J. Hydrometeorol., 14, 977-988. doi: 10.1175/JHM-D-12-0146.1
USDA-ARS;Jackson, T.J., Cosh, M.H., Bindlish, R., Starks, P.J., Bosch, D.D., Seyfried, M.S., Goodrich, D.C., Moran, M.S., Validation of Advanced Microwave Scanning Radiometer Soil Moisture Products. IEEE Transactions on Geoscience and Remote Sensing. 48: 4256-4272, 2010.
VAS;We acknowledge the work of Mike Schwank, Jean-Pierre Wigneron, Yann H. Kerr, Diego Intrigliolo, Jennifer Grant, Ernesto Lopez-Baeza (http://nimbus.uv.es/) in support of the ISMN.
VDS;We acknowledge the work of Richard de Jeu (https://www.vandersat.com/) in support of the ISMN.
WEGENERNET;Kirchengast, G., Kabas, T., Leuprecht, A., Bichler, C. & Truhetz, H. (2014), ‘Wegenernet: A pioneering high-resolution network for monitoring weather and climate’, Bulletin of the American Meteorological Society 95.
WEGENERNET;Fuchsberger, J., Kirchengast, G. & Kabas, T. (2020), ‘Wegenernet high-resolution weather and climate data 2007 to 2019’, Earth System Science Data Discussions 2020, 1–49.
WSMN;Petropoulos, G. P. & McCalmont, J. P. (2017), ‘An operational in situ soil moisture & soil temperature monitoring network for west wales, uk: The wsmn network’, Sensors 17(7), 1481.
